Time,Money,Total Income, Factory Income, Click Income,Quartz Click Power,Quartz Factories,Quartz Factory Cost,Topaz Click Power,Topaz Factories,Topaz Factory Cost,Amethyst Click Power,Amethyst Factories,Amethyst Factory Cost,Sapphire Click Power,Sapphire Factories,Sapphire Factory Cost,Emerald Click Power,Emerald Factories,Emerald Factory Cost,Ruby Click Power,Ruby Factories,Ruby Factory Cost,Diamond Click Power,Diamond Factories,Diamond Factory Cost,Rainbow Click Power,Rainbow Factories,Rainbow Factory Cost,
48,214158.39283248122,213,213,0,1,33,1208.3979440973176,1,16,1403.6431310305,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
49,226449.9948883839,225,225,0,1,34,1389.6576357119152,1,16,1403.6431310305,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
50,238606.3517573534,226,226,0,1,34,1389.6576357119152,1,17,1614.1896006850748,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
51,251496.69412164149,238,238,0,1,35,1598.1062810687022,1,17,1614.1896006850748,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
52,264222.50452095637,239,239,0,1,35,1598.1062810687022,1,18,1856.3180407878358,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
53,277684.39823988767,251,251,0,1,36,1837.8222232290077,1,18,1856.3180407878358,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
54,290804.39823988767,252,252,0,1,36,1837.8222232290077,1,18,1856.3180407878358,0,1,2300,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
55,313174.39823988767,402,402,0,1,36,1837.8222232290077,1,18,1856.3180407878358,1,1,2300,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
56,335438.08019909984,402,402,0,1,36,1837.8222232290077,1,19,2134.765746906011,1,1,2300,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
57,358440.25797587086,414,414,0,1,37,2113.495556713359,1,19,2134.765746906011,1,1,2300,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
58,381040.25797587086,415,415,0,1,37,2113.495556713359,1,19,2134.765746906011,1,2,2644.9999999999995,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
59,412826.7624191575,565,565,0,1,38,2430.5198902203624,1,19,2134.765746906011,1,2,2644.9999999999995,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
60,444651.9966722515,566,566,0,1,38,2430.5198902203624,1,20,2454.980608941912,1,2,2644.9999999999995,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
61,476686.9966722515,578,578,0,1,38,2430.5198902203624,1,20,2454.980608941912,1,3,3041.749999999999,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
